Nombre o título de la categoría de información,Descripción del contenido la categoría de información,Idioma,Medio de conservación o soporte,Formato,Disponibilidad de la información,Lugar de consulta o ubicación física,Lugar de publicación
Archivos de procesamientos estadísticos de los proyectos de investigación.,"Archivos de procesamiento estadísticos relacionados con el análisis de comportamiento diferencial, la metodología para aumento de datos, adaptación del análisis de copia, piloto de escala vertical Saber 3°. 5° y 9° 2017 y análisis factoriales bajo teoría de respuesta al ítem. Así como documentos técnicos de texto con análisis de investigación y de resultados.",Español,Electrónico - Digital,Compresión,No disponible,N/A,N/A
Script (modulo de validaciones) de procesamientos adicionales para validación de cargue de asignación de puntajes de las pruebas aplicadas por el ICFES.,"Archivos de código con la información fuente del análisis de copia, validaciones de calificaciones (salidas de Bases de datos en Interactivo), verificación de copia y armado de la prueba.",Español,Electrónico - Digital,Bases de datos,No disponible,N/A,N/A
Actas con histórico de decisiones de análisis de ítems.,Actas con decisiones de análisis de ítems con evidencias de eliminación con fecha en la que se hizo el reporte.,Español,Electrónico - Digital,Texto,No disponible,N/A,N/A
Archivos del procesamiento de pruebas adaptativas.,Comandos (archivos fuente) del proyecto de Pruebas Adaptativas.,Español,Electrónico - Digital,Texto,No disponible,N/A,N/A
Documentos técnicos (guía) de procesos de validación de pruebas adaptativas y cargue de asignación de puntajes.,"Archivos relacionados a los documentos de algoritmo de copia (guía), así como de la validación de calificación con la explicación de fundamentos.",Español,Electrónico - Digital,Texto,No disponible,N/A,N/A
Archivos de soporte de auditoria (muestras de actividades especificas en procedimiento de asignación de puntajes y soportes de calidad),Los documentos empleados como seguimiento y soporte ante los requerimiento de auditoria y cumplimiento de la normal ISO 9001 de 2015.,Español,Físico -Electrónico- Digital,Bases de datos,No disponible,N/A,N/A
Presentaciones de reporte de resultados de calificación y equiparación.,Presentaciones en las que se evidencia un corto análisis de los resultados obtenidos de acuerdo a ciertos parámetros existentes de calificación y equiparación.,Español,Electrónico - Digital,Presentación,No disponible,N/A,N/A
Bases de datos con información de seminarios técnicos internos,"Las bases de datos que contienen la información sobre el cumplimiento del seminario los días viernes por parte de la Subdirección de Estadísticas, así como el material usado, las presentaciones y los códigos",Español,Electrónico - Digital,Compresión,No disponible,N/A,N/A
Listas de verificación de calificación.,Las listas de chequeo en las que se corrobora que hubo una correcta elaboración de Manuales de Calificación y generación de bases de datos de asignación de puntajes.,Español,Físico -Electrónico- Digital,Texto,No disponible,N/A,N/A
"Históricos de manuales de procesamiento, calificación y reportes de las pruebas de estado: SABER 11°,SABER PRO, Validantes y PRE SABER.","Documento que define la forma en que se realizarán el análisis de ítems (preguntas que componen las diferentes pruebas de los exámenes) y de las pruebas, así como el procesamiento de resultados, la producción de las escalas de calificación y la información que se publicará en los reportes para cada evaluado y agregados, si aplica.",Español,Electrónico - Digital,Texto,No disponible,N/A,N/A
"Históricos de Manuales de procesamiento, calificación y reportes de nuevos negocios","Documento que define la forma en que se realizarán el análisis de ítems (preguntas que componen las diferentes pruebas de los exámenes) y de las pruebas, así como el procesamiento de resultados, la producción de las escalas de calificación y la información que se publicará en los reportes para cada evaluado y agregados, si aplica.",Español,Electrónico - Digital,Texto,No disponible,N/A,N/A
Ítem diagramado,Archivo de illustrator que contiene el ítem.,Español,Electrónico - Digital,Documentos gráficos,"Ni disponible,Ni publicada",N/A,N/A
Documentos digitales que contienen información sobre la edición y ensamble de las pruebas.,"Documentos que se crean como parte del proceso de construcción y ensamble de instrumentos de evaluación (Bloques, formas)",Español,Físico -Electrónico- Digital,Documentos gráficos,"Ni disponible,Ni publicada",N/A,N/A
Control de Revisión de Diagramación,Es el formato del Sistema de Gestión de Calidad en el cual se registran las revisiones y correcciones que se realizan durante el proceso de diagramación de ítems y pruebas.,Español,Físico,Texto,"Ni disponible,Ni publicada",N/A,N/A
Actas de compromiso de confidencialidad,Es el formato del Sistema de Gestión de Calidad en el cual se registran los datos personales de las personas que realizan las revisiones y correcciones de ítems y pruebas.,Español,Físico,Texto,Disponible,Archivo de gestión del área,N/A
Acta de acceso o entrega de información bajo custodia del banco de pruebas e ítems,Es el formato del Sistema de Gestión de Calidad en el cual se registran los datos personales de las personas que reciben o tienen acceso a la información que se resguarda en el banco de pruebas e ítems.,Español,Físico,Texto,"Ni disponible,Ni publicada",N/A,N/A
Control de Solicitud de Documentos,"Es el formato del Sistema de Gestión de Calidad en el cual se registran los datos personales de las personas, así como el material que solicitan al banco de pruebas e ítem, para consultar dentro del las mismas instalaciones del Banco.",Español,Físico,Texto,"Ni disponible,Ni publicada",N/A,N/A
Lista de revisión de cuadernillos ensamblados,Es el formato del Sistema de Gestión de Calidad con el cual se verifican los criterios de calidad establecidos para la aprobación de los cuadernillos diagramados e impresos que se producen en el banco de pruebas e ítems.,Español,Físico,Texto,"Ni disponible,Ni publicada",N/A,N/A
Muestras de cuadernillos impresos,"Son cuadernillos impresos, de cada tipo, que entrega el proveedor de impresión para que sean resguardados en el banco de ítems para posteriores consultas.",Español,Físico,Documentos gráficos,"Ni disponible,Ni publicada",N/A,N/A
Base de codificaciones de las respuestas a las preguntas abiertas,"Es una base de datos que contiene el código que asignaron los codificadores a cada una de las respuestas dadas por los evaluandos en las diferentes aplicaciones que tiene el Icfes, como por ejemplo: Comunicación Escrita, módulo del proyecto de arquitectura, entre otras, la cual se entrega a la Subdirección de Estadísticas para el procedimiento de calificación.",Español,Electrónico - Digital,Bases de datos,"Ni disponible,Ni publicada",N/A,N/A
Carpeta de gestión del procedimiento de codificación.,"Contiene los plan de trabajo, listados de asistencia y actas de talleres de apropiación de los procesos de codificación a cargo de la Subdirección de Producción de Instrumentos.",Español,Físico,No aplica,"Ni disponible,Ni publicada",N/A,N/A
Respuestas de los evaluandos a las preguntas abiertas aplicadas.,Son las imágenes que se obtienen al escanear las respuestas que brindan los evaluandos a las preguntas abiertas que se aplican en las diferentes pruebas a cargo del Icfes,Español,Electrónico - Digital,Documentos gráficos,"Ni disponible,Ni publicada",N/A,N/A
Guía de codificación,La guía de codificación contiene los criterios establecidos para la codificación de las respuestas a las preguntas abiertas aplicadas en las diferentes pruebas a cargo del Icfes.,Español,Electrónico - Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Material audiovisual,"Fotografías, audios y videos institucionales",Español,Electrónico - Digital,Digital,Publicada,Carpeta compartida de la Oficina Asesora de Comunicaciones y Mercadeo,www.icfes.gov.co
Bases de datos de periodistas e instituciones,"Bases de datos en Excel que contienen información de los periodistas educativos, de influencia y de los contactos en las instituciones.",Español,Electrónico - Digital,Bases de datos,No disponible,N/A,N/A
Comunicaciones externas - Estrategias de comunicación,"Piezas de comunicación dirigidas a otras entidades, partes interesadas, respuestas a oficios, portal web y redes sociales.",Español,Electrónico - Digital,Digital,"Ni disponible,Ni publicada",N/A,N/A
Boletines de prensa,"Piezas de comunicación dirigidas a otras entidades, partes interesadas, respuestas a oficios, portal web y redes sociales.",Español,Electrónico - Digital,Digital,Publicada,Carpeta compartida de la OACM,www.icfes.gov.co
Informes de monitoreo de prensa,Informes de monitoreo de prensa y redes sociales con análisis del impacto de la información relacionada con el Instituto,Español,Físico -Electrónico- Digital,Digital,"Ni disponible,Ni publicada",N/A,N/A
Manuales de marca e imagen corporativa,Es un protocolo que da lineamientos a las partes interesadas sobre el uso adecuado de la marca e imagen institucional,Español,Electrónico - Digital,Documentos gráficos,"Ni disponible,Ni publicada",N/A,N/A
Planes estratégicos de comunicaciones y mercadeo,"Plan estratégico de comunicaciones y mercadeo en el que se detallan las actividades, acciones, campañas, mapa de ruta y proyectos Institucionales",Español,Electrónico - Digital,Presentación,"Ni disponible,Ni publicada",N/A,N/A
Resultados agregados,"Información derivada de los resaltados individuales, se tienen diferentes agregaciones según los exámenes",Español,Electrónico - Digital,Bases de datos,No disponible,N/A,N/A
Imágenes escaneadas de las respuestas de los evaluandos.,Son las imágenes que se obtienen al escanear las respuestas que brindan los evaluandos a las preguntas abiertas que se aplican en las diferentes pruebas a cargo del Icfes,Español,Electrónico - Digital,Digital,Disponible,NA,N/A
Base de codificaciones de las respuestas a las preguntas abiertas,"Es una base de datos que contiene el código que asignaron los codificadores a cada una de las respuestas dadas por los evaluandos en las diferentes aplicaciones que tiene el Icfes, como por ejemplo: Comunicación Escrita, módulo del proyecto de arquitectura, entre otras, la cual se entrega a la Subdirección de Estadísticas para el procedimiento de calificación.",Español,Electrónico - Digital,Texto,No disponible,N/A,N/A
"Bases de datos con encuestas, vídeo, autoevaluación y evaluación de desempeño de ECDF","Contiene la información correspondiente a las repuestas de las encuestas realizadas durante la Evaluación de Carácter Diagnostico Formativa ECDF, la cual posee una cadena de caracteres numéricos con una estructura definida que al procesarse en una base de datos permite obtener información de la totalidad de las respuestas seleccionadas por cada evaluador (encuestador).",Español,Electrónico - Digital,Digital,No disponible,N/A,N/A
Históricos los documentos de acuerdos de actividades.,"Los acuerdos de actividades en el formato de acuerdos, son los que se asignan diferentes actividades de apoyo a los contratista, para despues empalmar con las obligaciones contractuales.",Español,Electrónico - Digital,Texto,No disponible,N/A,N/A
Cronograma de asignación de actividades para calificación,Se tiene el registro de todas las actividades que se deben desarrollar de acuerdo a los compromisos y fechas de entrega,Español,Físico -Electrónico- Digital,Texto,Disponible,\\ICFESSERV5\MANUALESyListasdeChequeo$,N/A
Documental de calidad asociada al gestor de calidad OAP en la Subdirección de Estadisticas,"Documentos detallados de los temas de Calidad relacionados a la Subdirección de Estadísticas tales como: Matrices de riesgos, Planes de Acción, seguimiento de evidencias auditorias, gestiones contractuales, entre otras actividades operativas y de calidad (requeridos ante procesos de auditoria), word, excel, bizagi, pdf, etc.",Español,Electrónico - Digital,Texto,No disponible,N/A,N/A
Comunicaciones externas,Comunicaciones de las áreas a entes externos.,Español,Electrónico - Digital,Texto,No disponible,N/A,N/A
"DERECHOS DE PETICIÓN, QUEJAS, RECLAMOS, SUGERENCIAS Y DENUNCIAS","Documentación, radicados, consecutivos y respuestas de fondo de PQRSD",Español,Físico -Electrónico- Digital,Texto,Disponible,http://atencionciudadano.icfes.gov.co/consultaWeb/index_web.php,N/A
INSTRUMENTOS DE CONTROL DE COMUNICACIONES OFICIALES,"Contiene los informes de PQRSD, quejas y reclamos, solicitudes de acceso a la información, entre otros que se generen desde la Unidad de Atención al Ciudadano",Español,Electrónico - Digital,Presentación,Publicada,N/A,https://www.icfes.gov.co/web/guest/informe-de-peticiones-quejas-reclamos-denuncias-y-solicitudes-de-acceso-a-la-informacion
Bases de datos de contratistas,Contiene los datos de los contratistas junto con los soportes para liquidar los descuentos que se apliquen en las cuentas de cobro.,Español,Electrónico - Digital,Bases de datos,No disponible,N/A,N/A
Sistemas de Información SEVEN y SAFI,Software de consulta histórica de información financiera.,Español,Electrónico - Digital,Bases de datos,"Ni disponible,Ni publicada",N/A,N/A
Tablero de Control de Radicados,Archivo que permite visualizar la gestión relacionada con la atención de PQR's asignados a la Subdirección,Español,Electrónico - Digital,Hoja de cálculo,Disponible,One Drive - Microsoft 365,N/A
ACTAS DE COMITÉ PRIMARIO DE LA OFICINA DE CONTROL INTERNO,"Documento en el que se relaciona el desarrollo de los Comités, las decisiones adoptadas y los compromisos pactados",Español,Físico -Electrónico- Digital,Texto,Disponible,ICFES Oficina de Control Interno / DARUMA,N/A
Tableau,Herramienta expuesta para la consulta de datos e información que permita la toma de decisiones para el Instituto.,Español,Electrónico - Digital,Documentos gráficos,Disponible,Tableau,N/A
APEX,"Sabanas de datos que intervienen en un el proceso normal de una aplicación tipo Saber 11, Saber Pro, Saber 359, Avancemos, etc.",Español,Electrónico - Digital,Texto,Disponible,APEX,N/A
Datos Abiertos,"Contiene resultados anonimizados de las pruebas Saber 11 , Saber Pro y Saber TyT.",Español,Electrónico - Digital,Digital,Publicada,N/A,https://www.datos.gov.co/profile/bpbw-gs2u?page=2&orderColumn=lastUpdatedDate&orderDirection=desc&tab=myAssets
Libro de Unidades de Información,Libro que recoge la información asociada a cada una de las unidades de información. Se explica el concepto que recoge la unidad de información y su uso y explotación,Español,Electrónico - Digital,Hoja de cálculo,"Ni disponible,Ni publicada",N/A,N/A
Conceptos Técnicos,Documentos que conceptúan técnicamente a las diferentes dependencias del Icfes y que trata de conceptos a los componentes de hardware,Otro,Físico -Electrónico- Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Licencias de software,"Documento de registro y control del software operativo y licenciamiento de las aplicaciones del entorno computacional del Icfes. El documento contiene los siguientes datos: identificación y nombre del producto, descripción del software, versión, cantidad, tipo de licencia, fecha compra, no. factura, fecha vencimiento, usuario registro, clave registro y observaciones",Otro,Físico -Electrónico- Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Manuales de Aplicativos y Soluciones Informáticas,"Documentos que contienen los lineamientos necesarios para el buen uso de las herramientas, aplicaciones y programas implementados en los Sistema de Información",Español,Físico -Electrónico- Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Plan de mantenimiento de servicios tecnológicos,Documento que refleja las tareas o contratos que se hacen parte del plan de mantenimiento de servicios tecnológicos.,Español,Físico -Electrónico- Digital,Hoja de cálculo,"Ni disponible,Ni publicada",N/A,N/A
Documento de control de copias respaldo de seguridad,"Documento que contiene los siguientes datos: nombre del servidor, servicio o contenido, rotulo ICFES (inventario), fecha backup, fecha envió, rotulo custodio y descripción contenido cinta o azure",Otro,Físico -Electrónico- Digital,Hoja de cálculo,"Ni disponible,Ni publicada",N/A,N/A
Información de copias de respaldo,contiene la información respaldada de los diferentes servicio realizados en el plan de respaldo copias de seguridad,Otro,Electrónico - Digital,Digital,"Ni disponible,Ni publicada",N/A,N/A
Gestión de cuentas de usuario y claves de acceso,"Documento de gestión de las cuentas de usuario, perfiles y claves de acceso privilegiadas de los sistemas de información de la entidad",Otro,Físico -Electrónico- Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Reporte consolidado de incidentes y solicitudes de servicios,"Documento de datos que reúnen la gestión de incidentes y requerimientos, y la gestión de la mesa de servicio",Español,Electrónico - Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Documento Infraestructura TI,Documento que consolida la información de la infraestructura de la entidad y que se encuentra en los diferentes datacenter.,Español,Electrónico - Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Modelo de Gestión de servicios de TI,Documento que comprende el modelo funcional de la gestión de los servicios TI,Otro,Electrónico - Digital,Digital,"Ni disponible,Ni publicada",N/A,N/A
Registro de activos de información,"inventario de la información pública que la Entidad genera, obtiene, adquiere, transforma o controla en su calidad de tal",Español,Electrónico - Digital,Hoja de cálculo,Publicada,N/A,https://www.icfes.gov.co/web/guest/registro-de-activos-de-informacion
Índice de información clasificada y reservada,"Inventario de la información pública que la Entidad genera, obtiene, adquiere, transforma o controla en su calidad de tal, que ha sido calificada como clasificada o reservada.",Español,Electrónico - Digital,Hoja de cálculo,Publicada,N/A,https://www.icfes.gov.co/web/guest/indice-de-informacion-clasificada-y-reservada
Políticas de Tratamiento de la Información de Datos Personales,Documento de alto nivel con los lineamientos respecto a datos personales.,Español,Electrónico - Digital,Texto,Publicada,N/A,https://www.icfes.gov.co/ley-1581-de-2012-proteccion-de-datos-personales
Análisis de incidentes de seguridad de la información,Documento que contiene la información de los incidentes de seguridad de la información.,Otro,Electrónico - Digital,Digital,"Ni disponible,Ni publicada",N/A,N/A
Planes de Seguridad de la información,"Plan de Seguridad de la información, plan de tratamiento de riesgos de seguridad de la información y plan de concientización de seguridad y privacidad de la información.",Español,Electrónico - Digital,Texto,Publicada,N/A,https://www.icfes.gov.co/web/guest/transparencia-acceso-informacion-publica
Reporte de herramientas de seguridad de la información,"Reporte de Seguridad en ofimática, reporte del DLP, reporte WAF, reporte Firewall de BBDD, Reporte DDOS.",Otro,Electrónico - Digital,Digital,"Ni disponible,Ni publicada",N/A,N/A
Análisis de vulnerabilidades de seguridad de la información,Documento que contiene las vulnerabilidades detectadas en el Icfes.,Otro,Electrónico - Digital,Digital,"Ni disponible,Ni publicada",N/A,N/A
Informe y tablero de control de Vulnerabilidades y Etical Hacking,Informe y tablero de control de Vulnerabilidades y Etical Hacking,Otro,Electrónico - Digital,Hoja de cálculo,"Ni disponible,Ni publicada",N/A,N/A
Conceptos y asesorías sobre seguridad y privacidad de la información,Respuesta a conceptos o solicitudes de seguridad y privacidad de la información.,Español,Electrónico - Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Actas y listas de validación de condiciones de seguridad de la información,Registros de las visitas realizadas a los proveedores,Español,Físico -Electrónico- Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Catálogo de unidades de información,"Catálogo en el que se recogen las unidades de información, el líder asociado y las macroactividades que las utilizan",Español,Electrónico - Digital,Digital,"Ni disponible,Ni publicada",N/A,N/A
Mapas de Información,Representación gráfica de la relación entre unidades de información y las macroactividades,Español,Electrónico - Digital,Digital,"Ni disponible,Ni publicada",N/A,N/A
Resultado del diagnóstico de madurez,Documento que presenta el resultado del diagnóstico realizado sobre administración de los datos al interior del Instituto,Español,Electrónico - Digital,Presentación,"Ni disponible,Ni publicada",N/A,N/A
Catálogo de servicios de intercambio de información,Con este documento se centraliza la información de los servicios de interoperabilidad expuestos y consumidos por el Icfes (servicios web) a través del bus de servicios establecido para tal fin.,Español,Electrónico - Digital,Hoja de cálculo,Disponible,Repositorio de Interoperabilidad SharePoint,N/A
Diccionario de convenios,"Documento que tiene como objetivo definir las variables con que cuenta el Icfes para los procesos de intercambio de información con otras entidades. Este incluye las variables para cada prueba que aplica el Icfes (Saber 359, Saber 11, Saber TyT, Saber Pro), donde su actualización se realiza con cada publicación de resultados marcando en especial aquellas variables que son Clasificadas Este diccionario se toma como insumo para solicitar la generación de las bases a ser compartidas en el marco de convenios/acuerdos con otras entidades, las cuales quedan publicadas en el FTP de convenios acompañadas de una ficha técnica formalizando la entrega/disposición de la información.",Español,Electrónico - Digital,Hoja de cálculo,Disponible,Repositorio de Interoperabilidad SharePoint,N/A
Bases facilitadas por entidades externas,"Corresponde a la información que generan otras entidades en el marco de los convenios/acuerdos que tienen con el Icfes, donde previamente se han establecido: información, periodicidad de entrega y forma de acceso a la misma. Esto incluye bases de información tales como, SIMAT, SNIES, SISBEN, etc. La naturaleza de los datos personales varía dependiendo dela entidad y el tipo de base que facilita.",Español,Electrónico - Digital,Texto,Disponible,FTP de convenios,N/A
Diccionarios de datos de servicios web,"Documento que tiene como objetivo especificar las descripciones detalladas de cada una de las entradas, salidas y dominios de un servicio web.",Español,Electrónico - Digital,Hoja de cálculo,Disponible,Repositorio de Interoperabilidad SharePoint,N/A
Diccionarios de elementos de dato de servicios web,Formato establecido por el MinTIC para validar el cumplimiento de los servicios web de las entidades con el estándar Lenguaje Común de Intercambio de Información.,Español,Electrónico - Digital,Hoja de cálculo,Disponible,Repositorio de Interoperabilidad SharePoint,N/A
Fichas de servicios web,"Documento que tiene como objetivo especificar las características principales de un servicio de intercambio de información, con el fin de dar un soporte para la mejora continua. Este formato fue adaptado de la ficha de servicios de intercambio de información, de acuerdo al Anexo 1 - Documento de especificación de Servicios de intercambio de información del Marco de Interoperabilidad. MinTIC 2014.",Español,Electrónico - Digital,Hoja de cálculo,Disponible,Repositorio de Interoperabilidad SharePoint,N/A
Guías de consumo de servicios web,Este documento describe el paso a paso para el consumo de los servicios web dispuestos por el Icfes para usuarios externos.,Español,Electrónico - Digital,Texto,Disponible,Repositorio de Interoperabilidad SharePoint,N/A
Evaluación nivel de madurez Interoperabilidad Icfes,Formato establecido por el MinTIC para el modelo de madurez del Marco de Interoperabilidad y el cual permite que las entidades realicen un diagnóstico interno sobre el avance en la implementación de los lineamientos de cada uno de los dominios y definan las acciones que deben ejecutar para avanzar en la adopción de los lineamientos. El modelo de madurez tiene cinco niveles para establecer el estado actual del intercambio de información en el que se encuentra cada entidad.,Español,Electrónico - Digital,Hoja de cálculo,Disponible,Repositorio de Interoperabilidad SharePoint,N/A
Bases de datos procesos de apoyo,"Información de los sistemas que son considerados de apoyo, estos son: orfeo, service manager, e-business, base de datos docentes, Erp ,",Español,Electrónico - Digital,Bases de datos,"Ni disponible,Ni publicada",N/A,N/A
Bases de datos procesos misionales,"Información de la base de datos: inscripción, recaudo, citación, aprovisionamiento (sitios, personal, material) Informe delegado, análisis de ítems y publicación de resultados, entre otros.",Español,Electrónico - Digital,Bases de datos,"Ni disponible,Ni publicada",N/A,N/A
Bases de datos de clientes y usuarios,"Información de las bases de datos de personas, instituciones educativas, programas académicos, secretarias de educación y otras.",Español,Electrónico - Digital,Bases de datos,"Ni disponible,Ni publicada",N/A,N/A
Scripts de Bases de Datos,Scripts de Bases de Datos que son usados para cambios puntuales en la base de datos,Español,Electrónico - Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Catálogo de unidades de información,"Catálogo en el que se recogen las unidades de información, el líder asociado y las macroactividades que las utilizan",Español,Electrónico - Digital,Digital,Disponible,Repositorio de Gobierno de Datos,N/A
Proceso Disciplinario Ordinario,Auto de Apertura de Indagación Preliminar Auto de Pruebas Versión Libre Auto de Reconocimiento de Personería Auto de Copias Auto de Apertura de Investigación Disciplinaria Auto de Cierre de Investigación Disciplinaria Auto Inhibitorio Auto de Archivo Descargos Fallo de Primera Instancia Fallo de Segunda Instancia,Español,Físico,Texto,"Ni disponible,Ni publicada",N/A,N/A
Proceso Disciplinario Verbal,Auto de Citación a Audiencia Versión libre Pruebas Descargos Alegatos de Conclusión Fallo de Primera Instancia Fallo de Segunda Instancia,Español,Físico,Texto,"Ni disponible,Ni publicada",N/A,N/A
Bases de datos con resultados del INSE,"Base de datos con la información Socioemocional, económica y otras variables, a partir de los puntajes y niveles por evaluado.",Español,Electrónico - Digital,Bases de datos,No disponible,N/A,N/A
Bases de datos del ISCE,"Bases de datos producida a partir de la información de Saber 11 y 3, 5 y 9.",Español,Electrónico - Digital,Bases de datos,No disponible,N/A,N/A
Bases de datos con clasificación de planteles,Base de datos con los niveles de clasificación por planteles educativos.,Español,Electrónico - Digital,Bases de datos,No disponible,N/A,N/A
